Analysis performed between 30 and 68.8
Probe No	x		Period		Mean Height		Hi	H1/3	H1/10	Hmax
95		23.5		1.93799610931	148.953143629	0.0150867088259	154.72978061	159.733080658	161.812543271	
96		23.75		1.93880636183	145.167907018	0.0150159710821	149.965432191	154.192634343	155.302419978	
97		24.0		1.93790885749	141.743108819	0.0149203597584	145.763660299	146.913659944	147.1169116	
98		24.25		1.93761303434	141.07965382	0.0149084639773	145.417129431	147.340659802	149.230001002	
99		24.5		1.93927176034	145.156067235	0.014977481667	149.967412505	155.754079743	159.228669923	
100		24.75		1.94088600305	150.077387988	0.0150612572275	154.572884038	159.141377483	162.848300913	
101		25.0		1.9395858322	151.620596839	0.0151393051308	155.683219413	157.751382532	158.097744178	
102		25.25		1.93666857035	150.82899497	0.0151400602353	155.19880818	157.258725247	158.478337409	
103		25.5		1.93841559489	148.821622392	0.0151102932773	153.419516512	155.952801979	156.612120847	
104		25.75		1.93994809157	148.319905784	0.0151760993331	154.937457871	161.396304572	161.747211705	
105		26.0		1.93859788434	146.387248571	0.0150586155353	152.896701123	159.117919464	159.232869326	
106		26.25		1.93782928421	144.790209765	0.0149723528378	149.565790391	150.650304875	151.067636485	
107		26.5		1.93782207893	145.56219611	0.0150752820977	149.973473706	151.562250236	151.931118023	
108		26.75		1.93570790014	147.575791285	0.0151290391987	151.99823615	154.089161723	154.592236009	
109		27.0		1.93690366455	149.842098039	0.0151591971518	154.778745512	156.563724855	159.900887759	
110		27.25		1.93456591854	151.559243008	0.0152123462178	156.474020574	158.009166885	161.191309999	
111		27.5		1.93905463185	149.161005015	0.0151616221462	153.755425779	154.846855107	154.848577623	
112		27.75		1.93888317963	147.194307518	0.0150925152266	151.5697981	152.960573853	153.192952554	
113		28.0		1.93863956038	148.033311769	0.0151184308489	152.726320716	154.481407557	154.726563984	
114		28.25		1.93832699116	148.799931967	0.0151173217325	154.648622275	158.846237111	161.069120042	
115		28.5		1.93843436998	148.534476601	0.0150943324258	153.770088689	158.404654178	158.599730127	
116		28.75		1.93851028306	147.669009649	0.015003262334	151.95175632	154.372332977	157.040594586	
117		29.0		1.93747730363	148.270828172	0.0149107458498	151.94992939	153.229350391	153.632920441	
118		29.25		1.9367079533	148.629020151	0.0148056678111	152.544362362	154.884427382	155.92588105	
119		29.5		1.93818948283	148.990794354	0.0146079762333	154.143703148	161.404587082	161.88748767	
120		29.75		1.93969172369	147.821250384	0.014285315604	152.728185501	157.353589702	158.065153429	
121		30.0		1.93923590332	147.277216227	0.0139896388555	151.266204899	153.760069197	155.603918791	
122		30.25		1.93680826038	145.600342884	0.0136676253502	150.176851856	152.841464378	155.285549587	
123		30.5		1.93815057697	143.354390261	0.0133210297705	148.623047921	152.835547743	154.188031855	
124		30.75		1.93955541001	140.672708778	0.0129442427894	147.256634694	155.477772292	157.167816462	
125		31.0		1.93767615101	136.347647338	0.0125277719187	142.744743837	150.848466946	152.717390434	
126		31.25		1.9370779945	130.745429616	0.0120544051776	135.546365114	138.083781232	139.316628636	
127		31.5		1.9365254943	125.500376159	0.0115203907027	128.889176024	130.337253885	130.713843729	
128		31.75		1.93459145432	121.639181427	0.0110033245537	125.255312062	126.198231182	126.564241906	
129		32.0		1.93677161568	118.501325722	0.0104854076807	122.143681259	122.91512893	123.455237813	
130		32.25		1.93754856432	114.860744013	0.00993517187828	118.722766585	121.30151358	123.550974402	
131		32.5		1.9384099185	110.872282735	0.00945865202503	114.737179653	117.412071055	119.903333513	
132		32.75		1.93796273693	106.187608153	0.00904334881266	110.274782451	112.429906201	112.501335617	
133		33.0		1.93741660264	100.025021909	0.00862766664486	103.539966237	104.649268815	105.211932854	
134		33.25		1.93678866969	93.2632809041	0.00824958492723	96.336355651	98.0211777742	99.3022721135	
135		33.5		1.93633124357	86.2765329142	0.00785035540379	89.3376592568	91.0405829575	92.4924675352	
136		33.75		1.93600246695	79.8688736116	0.00742605290313	82.4546699848	82.9060243196	83.0152335631	
137		34.0		1.93470332862	75.9679566616	0.00701379082294	78.2530737668	79.359546638	80.0596957206	
138		34.25		1.9347761821	74.3762753389	0.00659763228962	77.2820961451	82.2137106953	84.222884009	
139		34.5		1.93602985308	73.6937366153	0.00617694358105	77.1548132459	83.5456983888	86.4196290535	
140		34.75		1.93700317251	72.7312313935	0.00577402910902	76.0936795298	80.461984993	82.9487220097	
141		35.0		1.93647029516	69.9255227071	0.00537855562839	72.9482293649	76.783230011	77.941615215	
142		35.25		1.93409982129	65.6179926967	0.00508976254525	68.4238058522	71.7217048552	73.7469465331	
143		35.5		1.93533949562	59.7485320078	0.00486589333591	62.9107616077	66.3597288986	67.1420655606	
144		35.75		1.93551530043	52.7938986349	0.0046699515943	55.9189502311	61.5418717875	62.8726806999	
145		36.0		1.93300760456	45.8110095217	0.00448009504531	48.5980154736	54.569988178	55.4291959585	
146		36.25		1.93088252656	40.6363834425	0.00425689144329	42.7884726316	46.1414786469	46.3944510891	
147		36.5		1.92898792036	38.2225720496	0.00398929527411	39.2245981021	39.7167391936	39.8236609058	
148		36.75		1.92820592727	39.6742820438	0.00369902485773	41.2133242359	42.2370999513	43.9013957954	
149		37.0		1.9302489294	42.4553764391	0.00335906715722	44.2030106596	45.7678202018	47.0280573021	
150		37.25		1.93367837182	44.9090947909	0.00307099173352	46.7402059423	48.5673163877	48.663074431	
151		37.5		1.9336750327	45.097320009	0.00288592366811	47.0630561749	49.5774449906	49.6026668397	
152		37.75		1.93315752198	42.4729639288	0.00285700307431	44.3432135298	47.3051144933	48.0206976298	
153		38.0		1.93173223032	37.2828957768	0.00283151798767	39.0817720515	41.465119906	42.8859166515	
154		38.25		1.92844868134	29.5623999335	0.00281668086277	31.2858119025	33.6549588213	34.5168559794	
