      time,           p [     12.8     0.225         0],           p [    14.08     0.225         0],           p [    15.64     0.225         0],           p [     17.2     0.225         0],           p [    18.76     0.225         0],           p [    20.32     0.225         0],           p [    21.88     0.225         0],           p [    23.44     0.225         0],           p [       25     0.225         0],           p [    26.56     0.225         0],           p [    28.12     0.225         0],           p [    29.68     0.225         0],           p [    31.24     0.225         0],           p [     32.8     0.225         0],           p [    34.36     0.225         0],           p [    35.92     0.225         0],           p [    37.48     0.225         0],           p [    39.04     0.225         0],           p [     40.6     0.225         0],           p [    42.16     0.225         0],           p [    43.72     0.225         0],           p [    45.28     0.225         0]
9.0149e+00,                    2.178003281278520717e+03,                    2.252526037569045457e+03,                    2.223667147297920565e+03,                    2.197682553248921067e+03,                    2.239551053000215688e+03,                    2.224908821596701273e+03,                    2.223793527040018489e+03,                    2.227323245235430022e+03,                    2.219168454127030600e+03,                    2.191744591054280136e+03,                    2.217064399676003177e+03,                    2.201584416220719504e+03,                    2.178691755134826508e+03,                    2.222631784968938518e+03,                    2.213512498316003075e+03,                    2.204551960732858788e+03,                    2.146594901590786776e+03,                    2.199313248243459839e+03,                    2.145857312011286922e+03,                    2.237349931135436236e+03,                    2.220631409264465219e+03,                    2.225721950263181043e+03
9.0293e+00,                    2.177511258095883022e+03,                    2.251024017929773436e+03,                    2.223956332158486930e+03,                    2.196949491064739959e+03,                    2.239119407542020326e+03,                    2.223127601784959552e+03,                    2.225036991982585732e+03,                    2.227889658149683328e+03,                    2.220252500761862848e+03,                    2.192080404882737184e+03,                    2.217261518216005243e+03,                    2.202242878937611295e+03,                    2.178700944719427298e+03,                    2.223124307698426037e+03,                    2.215141378786175665e+03,                    2.208952430607565930e+03,                    2.145307383128672882e+03,                    2.196141913855729399e+03,                    2.148051033020203704e+03,                    2.237113837309736482e+03,                    2.225396984268580127e+03,                    2.225449766653075130e+03
9.0441e+00,                    2.175531439665792277e+03,                    2.248902824756607060e+03,                    2.224889082256062466e+03,                    2.197028684067126505e+03,                    2.238296329983390478e+03,                    2.220415621475521220e+03,                    2.225575819509958365e+03,                    2.225638935039318312e+03,                    2.219075537888561030e+03,                    2.191432549735671273e+03,                    2.217536517926580018e+03,                    2.202066465072433857e+03,                    2.178365099262982312e+03,                    2.222890784418825206e+03,                    2.216100505610842447e+03,                    2.210419720118643909e+03,                    2.144136475370524295e+03,                    2.195351458697020462e+03,                    2.151810938765410356e+03,                    2.236660872864901648e+03,                    2.229326718434555005e+03,                    2.223775228133682958e+03
9.0594e+00,                    2.173616820657573044e+03,                    2.245993516653677943e+03,                    2.225025479473712949e+03,                    2.197042224731864735e+03,                    2.236505825212739182e+03,                    2.214173969673145166e+03,                    2.228478637310293379e+03,                    2.223692078397758905e+03,                    2.221607560127682973e+03,                    2.191106989475049886e+03,                    2.217336423915241994e+03,                    2.201839466686727064e+03,                    2.178291528373838446e+03,                    2.222514807643883159e+03,                    2.217089818453940097e+03,                    2.212025389257471943e+03,                    2.142720266022917713e+03,                    2.195141191984072975e+03,                    2.155812830210182256e+03,                    2.235411441699835450e+03,                    2.233479103924296851e+03,                    2.225607514849465588e+03
9.0744e+00,                    2.171770398402860337e+03,                    2.244364703683532753e+03,                    2.226036978644811825e+03,                    2.198480082606809901e+03,                    2.234462486495253870e+03,                    2.212050831676356665e+03,                    2.229592266851556360e+03,                    2.221924308748902149e+03,                    2.226182843556492116e+03,                    2.191678113711920105e+03,                    2.218012960517452029e+03,                    2.202120306826719570e+03,                    2.178846870959208900e+03,                    2.222615663851333466e+03,                    2.219313534267622344e+03,                    2.212663341001778008e+03,                    2.144152192293829103e+03,                    2.195260319102197172e+03,                    2.161269897189144103e+03,                    2.234917919004274609e+03,                    2.238169514311207877e+03,                    2.224639662610466075e+03
9.0889e+00,                    2.169591480567021335e+03,                    2.242445221907887117e+03,                    2.227017386175543834e+03,                    2.193748772391020793e+03,                    2.231227239828763686e+03,                    2.209771298306786775e+03,                    2.230496883248616086e+03,                    2.219233695095642815e+03,                    2.230640859893252127e+03,                    2.191095279431873223e+03,                    2.218068348716424225e+03,                    2.201792070706589584e+03,                    2.178959855540104854e+03,                    2.222218036901029336e+03,                    2.220732286462580305e+03,                    2.213047557022601723e+03,                    2.144430017435320224e+03,                    2.195045062867126035e+03,                    2.166726574352381249e+03,                    2.233876233808272900e+03,                    2.242197588386489770e+03,                    2.223728029852446980e+03
9.1032e+00,                    2.167160392948519529e+03,                    2.240812185804486035e+03,                    2.227466368602138573e+03,                    2.196006862434022878e+03,                    2.227246572464685869e+03,                    2.207110703745912360e+03,                    2.230573143009479281e+03,                    2.216361155653292371e+03,                    2.236026972108490554e+03,                    2.190884227518713942e+03,                    2.217727097080872682e+03,                    2.201171358235408206e+03,                    2.179060494461954477e+03,                    2.221383757578151290e+03,                    2.221164371322278839e+03,                    2.212897315918392906e+03,                    2.144147858748648559e+03,                    2.194545668751258290e+03,                    2.172330205812852910e+03,                    2.231767296627891028e+03,                    2.244231544655688140e+03,                    2.222391531389094780e+03
9.1173e+00,                    2.164777043122825035e+03,                    2.239132706218408202e+03,                    2.227647963306443671e+03,                    2.198620131167265754e+03,                    2.222362501739873551e+03,                    2.204881741986972429e+03,                    2.229131090178391787e+03,                    2.213379824710396406e+03,                    2.241075198703784281e+03,                    2.190231767268719523e+03,                    2.217350039652017585e+03,                    2.200666824307589195e+03,                    2.178370171662874782e+03,                    2.220418066622808965e+03,                    2.221927007190391578e+03,                    2.211212273871483831e+03,                    2.144726185798858296e+03,                    2.193762681129925113e+03,                    2.177259100225321163e+03,                    2.230105159707552957e+03,                    2.247065947507619057e+03,                    2.221087315452123676e+03
9.1311e+00,                    2.163230741633384696e+03,                    2.238306225808749332e+03,                    2.228196743883320778e+03,                    2.202227255948244419e+03,                    2.217005396260917678e+03,                    2.202964404923669463e+03,                    2.226335512992416625e+03,                    2.210386282975804534e+03,                    2.246354227491861820e+03,                    2.190136307026178656e+03,                    2.216206300996671871e+03,                    2.199815486944562053e+03,                    2.178443843360618757e+03,                    2.219332556886394741e+03,                    2.222545835007945698e+03,                    2.209372847528642069e+03,                    2.146473353772551491e+03,                    2.193160656450342231e+03,                    2.182355324014610233e+03,                    2.227585139085630999e+03,                    2.248787695538986100e+03,                    2.219963545560208331e+03
9.1449e+00,                    2.161924102739721093e+03,                    2.237064381157497337e+03,                    2.228751751478159804e+03,                    2.206787551426598384e+03,                    2.210761496251296649e+03,                    2.200527875863403096e+03,                    2.222946073215307933e+03,                    2.207554979443267257e+03,                    2.250089296920848028e+03,                    2.189296331055636983e+03,                    2.215826836696688133e+03,                    2.198948082626291580e+03,                    2.178737778711315514e+03,                    2.218082234731950848e+03,                    2.223025422887415971e+03,                    2.206395321179632447e+03,                    2.147556238477524857e+03,                    2.192539935488966421e+03,                    2.188519428724404861e+03,                    2.225027373901025385e+03,                    2.249751075741830391e+03,                    2.218761920459456633e+03
